path,identity
/home/dell/Desktop/f/data/dataset/train_data/00003_39.bmp,3
/home/dell/Desktop/f/data/dataset/train_data/00002_08.bmp,2
/home/dell/Desktop/f/data/dataset/train_data/00009_32.bmp,9
/home/dell/Desktop/f/data/dataset/train_data/00001_33.bmp,1
/home/dell/Desktop/f/data/dataset/train_data/00004_25.bmp,4
/home/dell/Desktop/f/data/dataset/train_data/00008_67.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00008_08.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00004_30.bmp,4
/home/dell/Desktop/f/data/dataset/train_data/00000_60.bmp,0
/home/dell/Desktop/f/data/dataset/train_data/00003_47.bmp,3
/home/dell/Desktop/f/data/dataset/train_data/00007_23.bmp,7
/home/dell/Desktop/f/data/dataset/train_data/00003_15.bmp,3
/home/dell/Desktop/f/data/dataset/train_data/00008_05.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00003_57.bmp,3
/home/dell/Desktop/f/data/dataset/train_data/00000_53.bmp,0
/home/dell/Desktop/f/data/dataset/train_data/00007_33.bmp,7
/home/dell/Desktop/f/data/dataset/train_data/00005_68.bmp,5
/home/dell/Desktop/f/data/dataset/train_data/00005_40.bmp,5
/home/dell/Desktop/f/data/dataset/train_data/00004_42.bmp,4
/home/dell/Desktop/f/data/dataset/train_data/00001_78.bmp,1
/home/dell/Desktop/f/data/dataset/train_data/00004_68.bmp,4
/home/dell/Desktop/f/data/dataset/train_data/00009_64.bmp,9
/home/dell/Desktop/f/data/dataset/train_data/00006_06.bmp,6
/home/dell/Desktop/f/data/dataset/train_data/00002_68.bmp,2
/home/dell/Desktop/f/data/dataset/train_data/00002_78.bmp,2
/home/dell/Desktop/f/data/dataset/train_data/00000_78.bmp,0
/home/dell/Desktop/f/data/dataset/train_data/00002_32.bmp,2
/home/dell/Desktop/f/data/dataset/train_data/00004_12.bmp,4
/home/dell/Desktop/f/data/dataset/train_data/00001_76.bmp,1
/home/dell/Desktop/f/data/dataset/train_data/00005_48.bmp,5
/home/dell/Desktop/f/data/dataset/train_data/00006_10.bmp,6
/home/dell/Desktop/f/data/dataset/train_data/00006_58.bmp,6
/home/dell/Desktop/f/data/dataset/train_data/00008_62.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00008_28.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00005_11.bmp,5
/home/dell/Desktop/f/data/dataset/train_data/00002_15.bmp,2
/home/dell/Desktop/f/data/dataset/train_data/00005_54.bmp,5
/home/dell/Desktop/f/data/dataset/train_data/00001_05.bmp,1
/home/dell/Desktop/f/data/dataset/train_data/00005_44.bmp,5
/home/dell/Desktop/f/data/dataset/train_data/00001_01.bmp,1
/home/dell/Desktop/f/data/dataset/train_data/00000_56.bmp,0
/home/dell/Desktop/f/data/dataset/train_data/00007_00.bmp,7
/home/dell/Desktop/f/data/dataset/train_data/00008_64.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00009_79.bmp,9
/home/dell/Desktop/f/data/dataset/train_data/00008_22.bmp,8
/home/dell/Desktop/f/data/dataset/train_data/00002_67.bmp,2
/home/dell/Desktop/f/data/dataset/train_data/00009_67.bmp,9
/home/dell/Desktop/f/data/dataset/train_data/00006_67.bmp,6
/home/dell/Desktop/f/data/dataset/train_data/00003_45.bmp,3
/home/dell/Desktop/f/data/dataset/train_data/00004_35.bmp,4
/home/dell/Desktop/f/data/dataset/train_data/00002_09.bmp,2
